marital_status,course,nationality,father_qualif,mother_occ,admission_grade,tuition_fees_up_to_date,scholarship,age_at_enrollment,units_1_credited,units_1_approved,units_2_enrolled,units_2_evaluations,units_2_approved,units_2_no_evaluations,unemployment_rate,inflation_rate,target
1,9147,1,1,4,138.8,0,0,18,0,3,5,8,2,0,8.9,1.4,Enrolled
1,8014,1,1,9,134.5,1,0,19,0,6,6,8,6,0,12.4,0.5,Graduate
1,9991,1,37,3,131.4,1,0,34,0,5,5,9,5,0,13.9,-0.3,Graduate
1,33,1,37,9,102.5,0,0,37,0,0,7,7,1,0,8.9,1.4,Dropout
1,9119,1,37,0,128.8,1,0,43,0,0,5,0,0,0,7.6,2.6,Dropout
1,9147,1,37,6,122.9,1,0,55,0,1,5,8,2,2,16.2,0.3,Dropout
4,9991,1,19,9,113.9,1,0,39,0,5,5,5,5,0,7.6,2.6,Graduate
1,9130,6,4,3,120.0,0,0,20,2,3,6,11,3,0,12.4,0.5,Dropout
1,9773,1,3,2,121.1,1,0,18,0,4,5,5,0,0,12.7,3.7,Dropout
1,9147,1,19,2,120.4,1,0,22,0,5,5,5,5,0,8.9,1.4,Graduate
1,9500,1,3,2,100.6,1,0,22,0,5,8,9,7,0,11.1,0.6,Graduate
1,9773,1,38,5,121.4,0,0,20,0,4,6,7,5,0,12.4,0.5,Dropout
1,9991,1,37,9,109.7,1,0,29,0,0,5,0,0,0,16.2,0.3,Dropout
1,9991,1,38,4,134.1,1,0,24,0,2,5,11,3,1,7.6,2.6,Enrolled
1,9238,1,19,9,127.6,1,0,18,0,6,6,8,5,0,11.1,0.6,Graduate
1,9500,1,19,7,132.4,1,1,22,0,6,8,9,7,0,11.1,0.6,Graduate
1,8014,1,19,9,133.4,1,1,21,3,6,6,7,6,0,12.4,0.5,Graduate
1,9238,1,38,9,126.1,1,1,19,0,5,6,7,6,0,12.7,3.7,Graduate
1,9254,1,38,9,113.5,1,1,24,0,6,6,6,6,0,12.4,0.5,Graduate
1,9500,1,38,6,121.3,1,1,19,0,6,8,10,6,0,9.4,-0.8,Enrolled
1,9773,1,19,7,121.8,1,1,20,0,4,6,12,3,0,9.4,-0.8,Enrolled
1,9130,1,37,90,159.3,1,0,19,0,5,5,5,5,0,7.6,2.6,Graduate
1,9991,1,38,9,120.0,1,0,27,0,5,5,10,5,0,9.4,-0.8,Dropout
1,9500,1,19,5,129.1,1,0,18,0,7,8,10,8,0,15.5,2.8,Graduate
2,9254,1,3,4,130.0,1,0,39,0,0,6,6,0,0,12.4,0.5,Dropout
1,9130,1,3,2,155.3,1,0,27,0,5,11,13,10,0,12.4,0.5,Dropout
1,9500,1,38,7,139.8,1,0,18,0,8,8,8,8,0,9.4,-0.8,Graduate
1,171,1,37,4,115.2,1,0,18,0,0,0,0,0,0,7.6,2.6,Enrolled
1,9500,1,19,9,114.9,1,0,18,0,6,8,12,7,0,16.2,0.3,Graduate
1,9238,1,1,9,131.9,1,1,21,3,6,6,7,6,0,13.9,-0.3,Graduate
1,171,1,37,4,126.0,1,1,19,0,0,0,0,0,0,10.8,1.4,Enrolled
1,9070,1,1,3,130.2,1,0,19,0,5,6,8,1,0,10.8,1.4,Enrolled
1,9070,1,1,3,120.9,1,0,24,0,0,6,6,0,0,12.7,3.7,Enrolled
4,9500,1,1,5,126.0,1,0,29,2,5,8,10,5,0,13.9,-0.3,Dropout
1,171,1,19,5,128.2,1,1,19,0,0,0,0,0,0,10.8,1.4,Graduate
1,9003,1,37,9,130.0,1,0,23,0,6,6,7,6,0,8.9,1.4,Graduate
1,9147,1,38,7,120.1,1,0,19,0,5,5,10,4,3,16.2,0.3,Dropout
1,9254,1,37,7,100.0,1,0,26,0,6,6,8,5,0,12.7,3.7,Enrolled
1,9147,1,37,5,134.0,1,0,18,0,0,5,5,0,0,7.6,2.6,Enrolled
1,9500,1,19,8,130.8,1,0,24,0,7,8,8,8,0,13.9,-0.3,Graduate
1,171,1,19,5,135.8,1,0,19,0,0,0,0,0,0,15.5,2.8,Dropout
1,9254,1,37,5,111.7,1,0,18,0,3,6,12,1,0,12.4,0.5,Dropout
1,9773,1,38,9,132.9,1,0,18,0,6,6,11,3,0,10.8,1.4,Graduate
1,9147,1,19,4,115.5,1,0,18,0,3,5,11,3,0,10.8,1.4,Dropout
1,9254,1,37,7,106.0,1,1,21,0,4,6,11,1,0,9.4,-0.8,Dropout
1,9773,1,19,9,120.3,1,1,19,0,6,6,6,6,0,8.9,1.4,Graduate
1,9500,1,37,9,130.8,1,1,22,0,7,8,9,8,0,16.2,0.3,Graduate
2,8014,1,37,9,117.0,1,0,33,0,6,6,6,6,0,10.8,1.4,Graduate
1,9853,1,19,9,110.2,1,0,20,0,5,6,7,5,0,10.8,1.4,Dropout
1,9991,1,3,2,155.7,1,0,35,0,0,5,0,0,0,10.8,1.4,Dropout
1,9003,1,3,4,180.4,1,0,24,6,6,12,14,10,0,12.4,0.5,Dropout
1,9254,1,19,4,125.5,1,0,18,0,5,5,8,3,0,12.7,3.7,Enrolled
2,8014,1,37,9,110.0,1,0,33,0,6,6,11,5,0,9.4,-0.8,Graduate
1,9500,1,38,9,161.0,1,1,22,0,7,8,8,7,0,10.8,1.4,Graduate
1,9670,1,19,4,100.0,1,1,25,0,4,5,7,5,0,9.4,-0.8,Graduate
1,9070,1,38,4,117.6,1,0,20,0,6,6,6,5,0,7.6,2.6,Graduate
1,9147,1,37,9,128.7,1,0,23,0,4,5,5,5,0,11.1,0.6,Enrolled
1,9119,1,19,9,112.2,1,0,18,0,2,5,9,0,0,15.5,2.8,Enrolled
1,9500,1,1,4,100.8,1,0,24,0,0,7,7,0,0,13.9,-0.3,Dropout
1,9773,41,1,9,105.0,0,0,21,0,6,6,6,6,0,8.9,1.4,Graduate
1,9130,41,1,4,100.0,1,0,26,0,2,6,6,0,0,8.9,1.4,Dropout
2,9853,1,34,0,115.5,1,0,39,0,3,6,14,0,1,7.6,2.6,Dropout
2,8014,1,19,9,114.0,1,0,44,2,8,6,7,6,0,12.7,3.7,Graduate
1,9119,26,3,9,137.0,1,0,19,0,5,5,11,3,0,13.9,-0.3,Enrolled
1,9773,1,1,5,124.9,1,0,18,0,6,6,6,6,0,8.9,1.4,Graduate
1,9500,1,37,7,120.3,1,1,18,0,7,8,9,8,0,12.4,0.5,Graduate
1,9085,1,2,9,134.3,1,0,19,0,5,5,7,5,0,12.7,3.7,Enrolled
1,9500,1,3,2,111.5,0,0,19,0,4,7,7,0,0,13.9,-0.3,Dropout
1,9085,1,38,9,128.8,1,0,21,7,8,9,14,5,0,8.9,1.4,Dropout
1,171,1,1,9,110.0,1,0,20,0,0,0,0,0,0,16.2,0.3,Graduate
2,8014,1,37,6,113.5,1,0,36,0,0,6,0,0,0,9.4,-0.8,Dropout
4,9003,1,37,9,160.0,1,0,43,13,18,13,14,13,1,15.5,2.8,Graduate
1,9853,1,19,9,117.4,1,0,19,0,0,6,0,0,0,11.1,0.6,Dropout
1,9070,1,1,2,122.2,1,0,20,4,10,11,11,11,0,11.1,0.6,Graduate
1,9238,1,38,4,118.2,1,0,19,0,0,6,0,0,0,16.2,0.3,Dropout
1,9085,1,1,4,106.7,1,0,20,0,4,6,17,4,0,15.5,2.8,Dropout
1,9500,1,4,4,108.2,1,0,20,2,6,7,10,5,0,12.4,0.5,Dropout
1,9853,1,1,9,107.0,1,0,20,0,6,7,10,3,0,16.2,0.3,Enrolled
1,9238,1,37,6,136.1,1,0,18,0,6,6,6,6,0,13.9,-0.3,Graduate
1,9147,1,38,4,115.3,1,1,18,0,3,5,11,3,0,8.9,1.4,Enrolled
1,9085,1,19,9,139.8,1,0,19,0,5,5,5,5,0,10.8,1.4,Graduate
1,9773,1,38,4,157.0,1,0,18,0,6,6,7,6,0,10.8,1.4,Graduate
1,9500,1,37,9,131.0,1,0,18,0,6,7,7,6,1,7.6,2.6,Dropout
1,9500,1,38,9,100.0,1,0,20,0,6,7,7,7,0,13.9,-0.3,Enrolled
1,9238,1,37,9,140.4,1,1,20,0,2,6,12,4,0,7.6,2.6,Enrolled
1,9147,1,19,3,113.4,1,0,20,0,3,5,10,3,0,12.4,0.5,Enrolled
1,9085,1,38,9,137.0,1,0,18,0,5,5,6,5,0,9.4,-0.8,Graduate
1,9147,1,19,4,121.8,1,0,18,0,5,5,5,5,0,11.1,0.6,Graduate
1,9254,1,1,4,131.0,1,0,21,0,3,6,12,2,0,9.4,-0.8,Dropout
1,9147,1,19,9,118.6,1,0,19,0,5,5,9,4,2,16.2,0.3,Graduate
1,171,1,19,2,122.3,1,0,19,0,0,0,0,0,0,10.8,1.4,Dropout
1,9670,1,38,9,127.9,1,1,19,0,5,5,5,5,0,9.4,-0.8,Graduate
1,9085,1,38,4,121.3,1,0,19,0,6,6,13,6,0,15.5,2.8,Graduate
1,9556,1,1,4,117.1,1,0,19,0,5,7,0,0,0,13.9,-0.3,Dropout
1,9085,1,37,9,160.0,1,0,20,1,6,6,17,5,0,12.4,0.5,Graduate
1,9853,1,38,9,145.3,1,1,18,0,5,6,7,5,0,9.4,-0.8,Enrolled
1,9238,1,39,5,122.6,1,0,18,0,6,6,6,6,0,12.4,0.5,Graduate
1,9500,1,37,8,128.0,1,0,19,0,7,8,9,8,0,12.4,0.5,Graduate
1,9500,1,19,5,124.9,1,1,18,0,7,8,9,7,0,13.9,-0.3,Dropout
1,9070,1,37,9,123.7,1,0,18,0,6,6,6,6,0,7.6,2.6,Graduate
1,9147,1,19,4,120.1,1,0,19,0,5,5,5,5,0,8.9,1.4,Graduate
1,9500,1,19,3,131.7,1,0,19,0,5,7,7,0,0,13.9,-0.3,Dropout
1,9238,1,37,9,133.2,1,0,20,5,9,7,8,7,0,7.6,2.6,Graduate
1,9670,1,38,3,109.3,0,1,19,0,5,6,9,4,0,12.4,0.5,Dropout
1,9670,1,19,5,113.0,1,0,20,0,4,5,5,4,0,7.6,2.6,Graduate
1,9773,1,1,141,157.9,1,1,18,0,6,6,6,6,0,8.9,1.4,Graduate
1,9500,1,1,4,112.1,1,1,20,0,5,8,9,7,0,11.1,0.6,Enrolled
1,9500,1,1,4,174.7,1,0,18,0,7,8,8,8,0,13.9,-0.3,Graduate
1,9500,1,37,9,128.8,1,0,19,0,6,7,7,6,0,7.6,2.6,Graduate
1,9773,1,1,4,110.1,1,1,19,0,6,6,10,5,0,12.4,0.5,Graduate
1,9147,1,1,3,99.7,0,0,22,0,0,5,7,0,0,8.9,1.4,Enrolled
1,9238,1,12,9,121.0,1,1,19,0,6,6,6,6,0,12.4,0.5,Graduate
1,9500,1,19,9,131.7,1,1,19,0,7,8,11,8,0,15.5,2.8,Graduate
1,9853,1,38,5,119.1,1,1,19,0,5,6,9,5,0,9.4,-0.8,Graduate
1,9254,1,19,9,124.7,1,0,19,0,0,5,10,0,0,7.6,2.6,Dropout
1,9254,1,37,9,117.2,1,0,20,0,5,6,12,3,0,7.6,2.6,Dropout
1,9147,1,19,2,128.8,1,0,18,0,5,5,9,5,0,13.9,-0.3,Graduate
1,9500,1,19,9,131.5,1,1,20,0,6,8,9,7,0,11.1,0.6,Graduate
1,171,1,37,2,121.7,1,0,18,0,0,0,0,0,0,9.4,-0.8,Enrolled
1,9085,1,38,4,123.4,1,0,19,0,5,5,6,5,0,7.6,2.6,Graduate
1,9853,1,38,7,124.7,1,0,18,0,3,6,10,5,0,9.4,-0.8,Enrolled
1,9853,1,37,9,132.8,1,0,18,0,6,6,8,5,0,7.6,2.6,Graduate
1,9853,1,37,2,108.7,1,0,21,0,3,6,12,3,0,9.4,-0.8,Dropout
1,9853,1,37,6,138.1,1,0,19,0,6,6,10,4,0,7.6,2.6,Dropout
1,9147,1,38,9,126.5,1,1,18,0,5,5,5,5,0,12.4,0.5,Graduate
1,9238,1,37,7,127.4,1,1,18,0,6,6,7,6,0,12.7,3.7,Graduate
1,9238,1,1,9,123.6,1,0,20,0,4,6,9,6,0,9.4,-0.8,Graduate
1,8014,1,19,6,122.0,1,1,24,0,5,6,9,5,0,11.1,0.6,Graduate
1,9670,1,1,4,118.2,1,0,19,0,6,6,9,6,0,10.8,1.4,Dropout
1,9500,1,37,9,123.9,1,1,18,0,7,8,12,7,0,15.5,2.8,Graduate
1,9500,1,19,9,125.8,1,0,18,0,7,8,8,8,0,15.5,2.8,Graduate
1,9853,1,12,4,123.3,1,0,21,0,4,6,10,3,0,10.8,1.4,Dropout
1,9670,1,19,5,124.4,1,0,19,0,5,5,5,5,0,7.6,2.6,Graduate
1,9773,1,37,7,126.0,1,1,19,0,6,6,7,6,0,15.5,2.8,Graduate
3,9003,1,37,6,170.0,1,0,47,0,0,6,0,0,0,8.9,1.4,Enrolled
1,9238,1,19,7,121.5,1,0,19,0,5,6,12,4,0,13.9,-0.3,Graduate
1,9500,1,2,1,130.0,1,0,29,1,7,8,8,7,0,12.7,3.7,Graduate
1,9238,1,19,4,117.0,1,0,21,0,3,6,12,2,0,16.2,0.3,Dropout
1,9085,1,19,9,130.0,1,0,28,0,4,5,11,4,0,12.7,3.7,Enrolled
1,9556,1,37,3,108.0,1,0,20,0,7,8,8,8,0,15.5,2.8,Graduate
1,9500,1,38,4,132.3,1,0,19,0,6,7,7,6,0,7.6,2.6,Graduate
1,8014,1,2,4,148.0,1,0,26,0,3,6,8,5,0,9.4,-0.8,Graduate
1,9254,1,37,9,122.6,0,0,20,0,4,6,6,6,0,11.1,0.6,Dropout
1,9670,1,37,9,123.0,1,1,18,0,3,5,6,4,0,7.6,2.6,Enrolled
1,9853,1,19,9,102.5,1,0,27,0,5,6,10,5,0,7.6,2.6,Graduate
1,9500,1,34,90,113.3,1,0,20,0,4,7,8,4,0,7.6,2.6,Dropout
1,9853,1,19,9,133.0,1,0,18,0,5,6,12,5,0,9.4,-0.8,Dropout
1,9500,1,1,9,140.0,1,0,33,2,6,8,10,6,0,16.2,0.3,Dropout
1,9853,1,1,3,128.3,1,0,35,19,21,19,19,19,0,12.4,0.5,Graduate
1,9991,1,19,9,140.0,1,1,26,2,6,6,7,6,1,9.4,-0.8,Enrolled
1,9773,1,19,3,104.0,0,0,27,0,5,6,6,0,0,11.1,0.6,Dropout
1,9070,1,37,5,122.3,0,0,19,0,6,6,6,0,0,15.5,2.8,Dropout
1,9254,1,19,4,135.0,1,0,20,0,0,6,0,0,0,11.1,0.6,Dropout
1,9147,1,3,5,119.1,0,0,20,0,3,5,9,3,0,10.8,1.4,Dropout
1,9238,1,37,5,126.6,0,0,21,5,8,6,12,4,0,9.4,-0.8,Enrolled
1,9500,1,1,9,129.0,1,1,18,0,6,7,7,6,0,7.6,2.6,Graduate
1,9085,1,19,9,162.3,1,0,24,0,2,6,6,0,0,8.9,1.4,Dropout
1,9070,1,3,4,163.4,1,0,20,0,6,6,6,6,0,16.2,0.3,Graduate
1,9254,1,38,9,121.5,1,1,21,0,6,6,6,6,0,13.9,-0.3,Graduate
1,8014,1,37,7,122.8,1,0,23,0,2,5,12,1,0,9.4,-0.8,Enrolled
1,9147,1,3,4,118.0,1,0,24,0,0,5,5,0,0,7.6,2.6,Dropout
1,9853,1,1,4,134.0,1,0,21,0,0,6,0,0,0,12.4,0.5,Dropout
1,9500,1,38,9,129.8,1,0,18,0,7,8,8,7,0,12.7,3.7,Graduate
1,9991,1,1,3,152.0,1,0,27,0,0,5,0,0,0,8.9,1.4,Dropout
1,9500,1,37,5,122.8,1,0,18,0,8,8,8,8,0,9.4,-0.8,Graduate
1,9119,1,2,2,150.0,1,0,35,0,0,5,0,0,0,13.9,-0.3,Dropout
1,9853,1,19,3,131.8,1,0,18,0,7,7,8,7,0,11.1,0.6,Graduate
1,9500,1,3,175,105.9,1,0,35,0,3,3,3,3,0,11.1,0.6,Enrolled
1,9085,1,1,4,132.1,1,0,19,0,4,5,13,4,2,10.8,1.4,Graduate
1,9238,1,19,4,127.4,1,0,20,0,6,6,6,6,0,7.6,2.6,Graduate
1,9500,1,19,7,129.5,1,0,18,0,7,8,8,7,0,10.8,1.4,Graduate
1,9238,1,38,5,126.7,1,0,21,3,6,6,7,6,0,13.9,-0.3,Graduate
1,9238,1,37,9,116.5,1,1,18,0,5,6,11,4,0,16.2,0.3,Graduate
1,9238,1,34,0,119.1,1,0,18,0,4,6,9,4,0,7.6,2.6,Graduate
1,9500,1,38,9,126.5,1,0,18,0,7,8,8,7,0,12.7,3.7,Graduate
1,9773,1,19,1,149.8,1,1,18,0,6,6,6,6,0,16.2,0.3,Graduate
1,9085,1,1,8,115.1,1,0,19,0,6,6,9,5,0,13.9,-0.3,Graduate
1,9254,1,19,2,124.5,1,1,36,0,6,6,6,5,0,16.2,0.3,Dropout
1,9500,1,1,7,128.3,1,1,18,0,7,8,8,7,0,12.7,3.7,Graduate
1,9500,1,37,9,136.0,1,1,18,0,6,7,7,6,0,7.6,2.6,Graduate
1,9130,1,3,9,140.0,1,1,20,0,6,6,8,6,0,13.9,-0.3,Graduate
1,9991,1,37,9,126.3,1,1,26,0,0,5,8,0,0,16.2,0.3,Dropout
1,9773,1,1,4,126.9,1,0,21,0,6,6,7,6,0,7.6,2.6,Graduate
1,9556,1,1,4,145.0,1,0,25,0,6,8,9,8,0,15.5,2.8,Enrolled
1,9147,1,3,5,115.8,1,1,19,0,5,5,5,5,0,12.4,0.5,Graduate
1,8014,1,37,8,100.0,1,0,24,0,1,6,6,0,6,9.4,-0.8,Dropout
1,8014,1,19,5,102.5,1,1,27,0,1,6,13,0,0,8.9,1.4,Dropout
1,9085,1,37,1,131.5,1,0,21,0,0,5,9,2,0,7.6,2.6,Dropout
1,9147,1,38,7,147.0,1,1,18,0,4,5,8,3,0,9.4,-0.8,Graduate
2,9853,1,37,5,122.5,1,1,19,0,6,6,6,6,0,10.8,1.4,Graduate
1,9254,1,1,3,117.5,1,0,18,0,4,6,13,2,0,9.4,-0.8,Dropout
1,9500,1,1,5,150.0,1,1,19,0,5,8,9,7,0,11.1,0.6,Graduate
1,9500,1,38,4,127.5,1,1,19,0,6,8,9,7,0,16.2,0.3,Graduate
2,9991,1,5,3,140.0,1,0,33,2,6,5,5,5,0,11.1,0.6,Graduate
2,9147,1,4,3,130.0,1,0,45,0,5,5,5,5,0,12.4,0.5,Graduate
1,9238,1,1,9,133.3,1,1,20,0,6,6,7,6,0,11.1,0.6,Graduate
1,9670,1,34,0,97.0,1,0,28,0,0,5,5,0,0,7.6,2.6,Dropout
1,9500,1,1,5,112.0,1,1,19,0,7,8,15,7,0,12.7,3.7,Graduate
1,9254,1,37,4,123.6,1,0,18,0,6,6,6,3,0,12.7,3.7,Graduate
1,9254,1,19,4,130.5,1,0,38,0,0,6,0,0,0,15.5,2.8,Dropout
1,9670,1,3,4,133.3,1,0,19,0,5,5,5,5,0,9.4,-0.8,Graduate
1,9254,1,37,9,132.1,1,1,21,0,5,6,8,5,0,15.5,2.8,Graduate
1,9147,1,1,9,100.0,1,0,21,0,3,5,12,1,3,16.2,0.3,Dropout
1,9238,1,37,9,140.4,1,1,22,0,5,6,6,6,0,10.8,1.4,Graduate
1,9853,1,19,5,141.7,1,1,18,0,5,6,7,6,0,9.4,-0.8,Graduate
1,9238,1,37,3,119.7,1,1,18,0,6,6,9,6,0,15.5,2.8,Graduate
1,9130,1,1,9,122.5,0,0,25,0,4,5,10,4,0,9.4,-0.8,Dropout
1,9085,1,19,9,140.0,0,0,24,2,3,6,14,3,0,16.2,0.3,Dropout
1,9500,1,1,4,119.4,1,0,19,0,6,7,8,7,0,12.4,0.5,Enrolled
1,171,1,3,3,155.0,1,0,24,11,11,13,15,9,0,12.4,0.5,Enrolled
1,9147,1,19,5,119.1,1,1,20,0,5,5,5,5,0,12.4,0.5,Graduate
1,9147,1,1,9,122.7,0,0,25,0,0,5,9,0,0,10.8,1.4,Dropout
1,9147,1,19,9,117.9,1,1,20,5,9,10,12,10,0,8.9,1.4,Graduate
1,9500,1,38,5,130.0,1,0,23,0,8,8,8,8,0,9.4,-0.8,Graduate
1,9500,1,37,7,120.0,1,1,19,0,7,8,8,7,0,10.8,1.4,Graduate
1,9003,1,37,9,130.0,0,0,29,0,3,6,8,3,0,13.9,-0.3,Dropout
1,9254,1,37,4,116.8,1,0,21,0,6,6,8,4,0,11.1,0.6,Graduate
1,9670,1,1,9,123.4,1,1,18,0,6,6,13,5,0,11.1,0.6,Graduate
1,9070,1,38,9,125.4,1,0,19,0,5,6,6,5,0,9.4,-0.8,Enrolled
1,9773,1,37,7,127.2,1,1,18,0,6,6,6,6,0,8.9,1.4,Dropout
1,9085,1,19,90,103.4,1,0,19,0,5,5,6,5,0,7.6,2.6,Graduate
1,9773,1,37,9,123.2,1,0,18,0,1,6,12,0,0,9.4,-0.8,Enrolled
1,9147,1,1,4,124.1,1,0,18,0,5,5,6,5,0,8.9,1.4,Graduate
2,9556,1,37,7,99.5,0,1,37,0,1,7,12,0,0,8.9,1.4,Dropout
1,9991,1,37,6,124.9,1,0,29,0,5,5,14,5,3,16.2,0.3,Graduate
1,9070,1,37,9,110.8,1,0,18,0,6,6,6,6,0,7.6,2.6,Enrolled
1,9238,1,1,9,118.9,1,1,19,0,5,6,9,5,0,12.4,0.5,Graduate
1,9238,1,1,3,118.8,0,0,22,6,6,7,8,2,0,16.2,0.3,Dropout
1,9254,1,38,9,137.0,1,1,20,0,6,6,10,5,0,15.5,2.8,Graduate
1,8014,1,37,99,100.0,1,0,34,0,0,6,0,0,0,12.7,3.7,Dropout
1,9119,1,38,9,120.0,0,0,30,8,8,12,19,6,2,7.6,2.6,Dropout
1,9238,1,1,4,122.8,1,0,18,0,6,6,7,6,0,10.8,1.4,Graduate
1,9238,1,19,9,121.6,1,0,18,0,6,6,6,6,0,12.4,0.5,Graduate
1,9773,1,1,1,149.2,1,0,18,0,4,6,10,3,0,9.4,-0.8,Graduate
1,9500,1,1,2,140.0,1,0,18,0,7,8,8,7,0,12.7,3.7,Graduate
1,9773,1,38,9,133.4,1,1,19,0,5,6,8,5,0,12.7,3.7,Graduate
1,9070,1,37,9,126.2,1,1,19,0,6,6,8,6,0,10.8,1.4,Graduate
1,9500,1,1,9,127.8,1,1,18,0,7,8,8,7,0,12.7,3.7,Graduate
1,9003,1,38,4,150.0,1,1,21,0,6,6,8,5,0,13.9,-0.3,Graduate
1,9147,1,19,9,113.7,0,0,20,0,2,5,12,1,0,7.6,2.6,Dropout
1,9147,1,19,4,117.8,1,0,20,0,5,5,8,5,0,13.9,-0.3,Graduate
1,9500,1,1,2,136.7,1,0,19,2,7,8,8,8,0,11.1,0.6,Graduate
1,9238,1,38,4,144.7,1,0,20,0,6,6,7,6,0,16.2,0.3,Graduate
1,9500,1,1,4,139.8,1,0,18,0,7,8,8,8,0,13.9,-0.3,Graduate
1,9853,1,38,3,113.7,1,0,20,0,5,6,10,3,0,12.7,3.7,Dropout
2,9130,1,4,2,140.0,0,0,29,7,7,7,12,5,2,7.6,2.6,Dropout
1,9500,1,19,5,142.3,1,1,18,0,7,8,8,8,0,12.4,0.5,Enrolled
1,9500,1,19,5,119.6,1,1,20,0,7,8,11,7,0,15.5,2.8,Graduate
1,9147,1,37,9,123.7,1,1,22,0,4,5,8,4,2,16.2,0.3,Graduate
4,8014,1,19,4,143.0,1,1,47,0,5,6,7,6,0,16.2,0.3,Graduate
2,9991,1,37,8,100.1,1,0,31,1,5,5,5,5,0,8.9,1.4,Graduate
1,9070,1,37,7,119.4,1,1,21,0,5,6,6,6,0,16.2,0.3,Graduate
1,8014,1,38,0,122.1,1,0,21,0,5,6,10,6,0,7.6,2.6,Graduate
2,9773,1,1,4,100.0,1,0,24,0,6,6,6,6,0,7.6,2.6,Graduate
1,9070,1,37,2,113.9,1,0,18,0,6,6,6,6,0,15.5,2.8,Enrolled
1,8014,1,1,90,101.0,1,0,32,0,4,6,12,4,0,7.6,2.6,Graduate
1,8014,1,1,3,111.8,1,1,19,0,6,6,9,6,0,10.8,1.4,Graduate
1,9500,1,3,1,140.0,1,0,24,0,8,8,8,8,0,9.4,-0.8,Graduate
1,9085,1,19,4,124.4,1,0,19,0,6,6,9,6,0,15.5,2.8,Graduate
1,9003,1,37,6,150.0,1,1,19,0,6,6,7,6,0,13.9,-0.3,Graduate
1,9003,1,37,9,140.0,1,0,24,0,6,6,12,5,0,12.4,0.5,Enrolled
1,9238,1,19,191,116.0,1,1,18,0,6,6,8,6,0,8.9,1.4,Graduate
1,9070,1,37,3,135.6,1,1,19,0,5,6,10,2,0,8.9,1.4,Dropout
2,9500,1,38,2,121.0,1,1,19,0,7,8,8,7,0,10.8,1.4,Graduate
